job_id,required_skill,latitude,longitude,num_workers_needed,budget,duration_hours,job_date,job_time
J00000,cleaning,28.490736037705506,77.18131490928361,2,5636,11,2026-09-01,08:00
J00001,farming_seeds,28.606919865330255,76.91205414839233,3,1010,2,2026-09-22,12:00
J00002,farming_weeding,28.524030941325673,77.07895932214825,5,3540,3,2026-09-19,12:00
J00003,farming_weeding,28.91144855364436,77.02703644790672,5,2322,6,2026-09-18,10:00
J00004,farming_seeds,28.597806660674223,77.12177934274999,4,7923,8,2026-09-11,08:00
J00005,farming_harvesting,28.866016477349504,77.26722327573927,2,8140,12,2026-09-04,12:00
J00006,cleaning,28.66080045031537,77.31899271020738,2,5096,4,2026-09-23,14:00
J00007,carpentry,28.43361390530942,77.0919976577413,3,8555,10,2026-09-01,10:00
J00008,plumbing,28.783343439882643,77.40931140790981,1,3270,10,2026-09-21,14:00
J00009,welding,28.501856277298103,77.46992788883372,3,8673,7,2026-09-03,14:00
J00010,electrical,28.566203398973258,77.15515517464854,1,1432,8,2026-09-04,08:00
J00011,cleaning,28.398251354607382,77.4531092698383,2,9391,7,2026-09-13,10:00
J00012,painting,28.63986173092684,77.24834476022932,3,1877,8,2026-09-11,10:00
J00013,plumbing,28.715947538783936,77.18668469068773,5,8540,2,2026-09-14,08:00
J00014,farming_seeds,28.47600490687144,77.50070411370642,1,6463,11,2026-09-07,08:00
J00015,farming_harvesting,28.65316604009331,77.3233557414322,1,2989,11,2026-09-02,16:00
J00016,welding,28.744070826850923,77.32994359936595,5,3361,10,2026-09-06,14:00
J00017,farming_weeding,28.44802615013891,77.31440845680089,2,5929,12,2026-09-04,12:00
J00018,welding,28.90739517793893,76.91287048038372,4,4288,3,2026-09-23,08:00
J00019,farming_seeds,28.405713251095076,77.43693943787083,5,2587,5,2026-09-18,10:00
J00020,farming_pruning,28.598145441964224,77.40863587152573,4,7401,2,2026-09-05,08:00
J00021,farming_harvesting,28.5566344016003,77.49861775981208,2,9957,6,2026-09-18,16:00
J00022,masonry,28.577377910426172,77.30389559211056,1,8083,4,2026-09-24,08:00
J00023,farming_weeding,28.39891171090551,77.35575909425675,2,3797,10,2026-09-14,16:00
J00024,farming_thinning,28.599595039393606,77.08302171323948,1,9076,7,2026-09-12,12:00
J00025,plumbing,28.54539247332358,77.38891311747135,4,7830,8,2026-09-21,10:00
J00026,farming_seeds,28.483953332107138,76.98107589848732,4,1180,11,2026-09-02,12:00
J00027,farming_seeds,28.700965392660002,77.44493258406457,5,8282,2,2026-09-15,12:00
J00028,farming_weeding,28.59464426449429,77.34283916076281,3,1149,4,2026-09-08,12:00
J00029,carpentry,28.827403743086855,77.2109233727937,3,9602,8,2026-09-12,16:00
J00030,farming_pruning,28.41859812746012,76.99984162869394,5,6558,9,2026-09-14,10:00
J00031,farming_harvesting,28.784876563226913,77.30406636695383,4,2117,12,2026-09-14,14:00
J00032,plumbing,28.891433005796756,77.27250507881779,2,9306,12,2026-09-09,16:00
J00033,farming_harvesting,28.391553181691926,77.1034459673264,5,6703,11,2026-09-05,16:00
J00034,plumbing,28.354441982851608,76.92671310650721,2,4796,3,2026-09-11,08:00
J00035,electrical,28.87444034536774,77.19484780390707,2,4876,3,2026-09-08,10:00
J00036,welding,28.84938371069469,77.36248832446331,4,2054,2,2026-09-09,16:00
J00037,farming_harvesting,28.38258426965513,77.41708111168415,1,8234,7,2026-09-03,16:00
J00038,masonry,28.818307613111106,77.46313050729364,3,2763,9,2026-09-19,14:00
J00039,farming_weeding,28.907222518337054,77.25326779697747,2,4206,6,2026-09-19,14:00
J00040,electrical,28.72120941274504,77.04429792368946,2,8111,10,2026-09-21,10:00
J00041,farming_pruning,28.663164767874374,77.28646939790174,1,4334,2,2026-09-14,10:00
J00042,farming_seeds,28.529636601238188,77.15381642202271,5,2179,7,2026-09-23,10:00
J00043,masonry,28.751886269404338,77.45559310010799,5,9129,5,2026-09-15,10:00
J00044,painting,28.81044544356644,77.20951017113971,3,3258,3,2026-09-21,14:00
J00045,plumbing,28.689182420409256,77.43338614102096,5,2280,4,2026-09-22,16:00
J00046,farming_harvesting,28.374447802379404,77.20822734602052,1,9856,7,2026-09-01,08:00
J00047,farming_thinning,28.806696683046003,77.08293788809601,3,7396,7,2026-09-21,08:00
