worker_id,skill,experience_years,latitude,longitude,availability,expected_wage,rating,has_transport,gender,age,reliability_score
W00000,masonry,3,28.138910755222668,76.98402931836912,afternoon,585,4.3,True,F,20,0.61
W00001,farming_thinning,7,28.619255288103364,76.73553596968387,afternoon,1416,3.5,False,F,18,0.9
W00002,farming_weeding,22,28.536514398153503,76.98687134167164,afternoon,989,2.8,False,M,40,0.94
W00003,painting,8,28.92102827327438,77.43873178669382,morning,1075,2.7,False,F,54,0.68
W00004,farming_pruning,1,28.77516331856771,77.4820683407887,morning,776,4.7,False,F,47,0.85
W00005,soil_preparation,5,28.484080967116885,76.9185070307715,evening,446,4.0,True,M,28,0.78
W00006,farming_harvesting,29,28.753899759854093,77.26594974377466,evening,414,3.1,True,F,43,0.71
W00007,farming_thinning,29,29.056809714335056,77.58536762647267,evening,735,4.1,False,F,27,0.71
W00008,farming_thinning,23,28.67526813416315,76.97174160852293,full_day,1495,3.5,True,M,50,0.8
W00009,cleaning,1,28.975002909666667,76.86184131934826,afternoon,1164,4.0,False,F,56,1.0
W00010,carpentry,8,29.08497837761362,77.5697797022345,morning,534,4.2,False,F,25,0.72
W00011,farming_weeding,14,28.11714531610173,77.43109206130991,evening,1325,4.4,True,F,58,0.8
W00012,farming_thinning,4,28.48781385259115,76.87054903575316,morning,963,3.7,True,F,37,0.7
W00013,farming_thinning,28,28.68125694368891,76.78775704829137,full_day,441,4.9,True,M,60,0.79
W00014,carpentry,5,28.37895662894006,77.58143304108526,full_day,733,4.8,True,F,43,1.0
W00015,masonry,11,28.552000083914503,77.2265758410356,morning,807,3.1,False,M,55,0.82
W00016,painting,7,28.121090838985094,77.41684094654846,morning,768,2.7,True,F,22,0.81
W00017,farming_harvesting,21,28.59931449915049,77.24823393139476,full_day,797,4.5,False,M,24,0.64
W00018,plumbing,11,28.537478623019922,77.17602466803667,morning,501,2.7,False,M,33,0.68
W00019,carpentry,14,28.254082297094776,76.89248803578724,full_day,811,4.7,True,F,53,0.64
W00020,masonry,17,28.94992758507995,77.67799625728476,afternoon,640,3.5,False,M,43,0.96
W00021,farming_weeding,12,28.116055378351426,77.09942175758782,full_day,884,3.6,False,M,30,0.72
W00022,farming_seeds,18,28.849637178789045,76.76995757147652,evening,417,2.6,False,M,21,0.98
W00023,farming_pruning,27,28.299724960980726,77.30403510645003,afternoon,1126,2.8,True,M,57,0.63
W00024,masonry,18,28.67912692384409,77.02536984597673,evening,718,4.2,False,M,34,0.76
W00025,masonry,20,28.413897079798762,77.02517719627185,morning,319,3.6,True,M,52,0.69
W00026,farming_harvesting,4,29.04715937799371,77.58986417368644,afternoon,1056,3.2,False,F,57,0.99
W00027,cleaning,20,28.64284069260227,77.37686320371259,evening,512,4.8,True,F,25,0.96
W00028,welding,17,28.269347909774993,76.9907562714579,afternoon,1002,3.0,False,F,34,0.96
W00029,farming_seeds,2,28.748184447309196,77.53834808937222,morning,307,3.3,True,F,28,0.9
W00030,carpentry,22,28.54158691898068,76.71866969960834,morning,605,3.9,False,M,45,0.65
W00031,farming_harvesting,11,29.01288148874259,77.50512230488805,morning,1032,3.0,True,M,40,0.91
W00032,plumbing,19,28.86337761114354,77.63476382256955,afternoon,632,4.9,True,F,19,0.67
W00033,soil_preparation,25,29.044715886048326,77.51123513893714,afternoon,846,2.9,True,F,20,0.94
W00034,farming_thinning,6,28.93048660559693,77.16930323467895,evening,766,3.1,True,F,39,0.71
W00035,farming_pruning,30,28.887226637440364,77.06014612908275,full_day,1398,3.3,True,M,34,0.67
W00036,farming_harvesting,1,28.222302547214714,77.14356375856465,evening,1193,4.0,True,F,54,0.68
